objectid,title,format,filename,author,publisher,date,format,location,latitude,longitude,identifier,subject heading,genre,description,language,rightsstatement,Additional Notes,,
item1,History of Canada in Ten Maps,image/jpeg,001-shoalts.jpg,"Shoalts, Adam","Allen Lane,",2017,Paperback,"L'Anse aux Meadows, Newfoundland",51.6014,-55.5333,ISBN 670069469,"historical geography, maps, explorers",non-fiction,"Historian, archaeologist and geographer Adam Shoalts tells the stories behind ten centuries old maps, and how they came to shape what became ""Canada"".",eng,(CC BY-NC-SA 4.0),,,
item1,,,,,,,,Gulf of St. Lawrence,46.50000,-61.49930,,,,,,,,,
item2,Lost City of Z,image/jpeg,002-grann.jpg,"Grann, David","Vintage Books,",2010,Paperback,Brazil,-15.59870,-56.09910,ISBN 9781400078455,"amazon river, explorers, civilization",non-fiction,"In 1925, the legendary British explorer Percy Fawcett ventured into the Amazon jungle, in search of a fabled civilization. He never returned. Over the years countless perished trying to find evidence of his party and the place he called ""The Lost City of Z.",eng,(CC BY-NC-SA 4.0),,,
item3,Botany of Desire,image/jpeg,003-pollan.jpg,"Pollan, Michael",Random Books,2001,Paperback,Peruvian Andes,-13.870227,-71.302948,ISBN 375501290,"plants, human civilization, flowers, fruit",non-fiction,"Michael Pollan that explores the co-evolutionary, reciprocal relationship between humans and domesticated plants. It proposes that plants use human desires—specifically sweetness, beauty, intoxication, and control—to manipulate us into spreading their genes globally.",eng,(CC BY-NC-SA 4.0),,1st edition,
item4,The Poisonwood Bible,image/jpeg,004-kingsolver.jpg,"Kingsolver, Barbara",Harperflamingo,1998,Paperback,Democratic Republic of the Congo (DRC),-4.034788,21.755028,ISBN 60175400,"missionaries, Africa, family, faith",fiction,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it - from garden seeds to Scripture - is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.",eng,(CC BY-NC-SA 4.0),,1st edition,
item5,The Name of the Rose,image/jpeg,005-eco.jpg,"Eco, Umberto",Harcourt Brace Jovanovich,1983,Paperback,Italy,45.13860,7.04850,ISBN 151446474,"monastic life, religion, logic, reasoning, murder",fiction,"A historical murder mystery that follows William of Baskerville, a smart friar, and his young helper, Adso, as they solve strange deaths at a 14th-century Italian monastery linked to a hidden library",eng,(CC BY-NC-SA 4.0),,1st edition, 
item6,Under the Banner of Heaven,image/jpeg,006-krakauer.jpg,"Krakauer, John",Anchor Books,2004,Paperback,"Utah, United States",-111.79590,-81.71000,ISBN 9781400032808,"fundamentalism, religion, faith, murder",non-fiction,"A true-crime investigation, a study of religious extremism, and an exploration of Mormon fundamentalism.",eng,(CC BY-NC-SA 4.0),,1st edition, 
item7,Merchant Kings,image/jpeg,007-bown.jpg,"Bown, Stephen R.",Douglas & McIntyre,2009,Paperback,Indonesia,"-6.914744,",107.60981,ISBN 9781553653424,"colonies, company, shipping, monopoly",non-fiction,"Bown profiles six ruthless merchant-adventurers who ran massive monopoly trading companies with absolute, dictatorial power over global territories.",eng,(CC BY-NC-SA 4.0),,,
item8,Arabian Sands,image/jpeg,008-thesiger.jpg,"Thesiger, Alfred",Longmans,1959,Paperback,Arabian Peninsula,23.5897,58.3734,ISBN 58862968,"explorer, desert, mountains, diplomacy",non-fiction,"The book chronicles Thesiger's expeditions crossing the Empty Quarter of the Arabian Peninsula and documents the traditional, vanishing life of the Bedouin.",eng,(CC BY-NC-SA 4.0),,,
item9,Into the heart of Borneo ,image/jpeg,009-ohanlon.jpg,"O'Hanlon, Redmond",Penguin Books,1984,Paperback,Borneo,1.5531,110.345,ISBN 140073973,"travel, adventure, canoe, river, jungle",non-fiction,"Armed with survival warnings, heavy kit, and expert knowledge, naturalist Redmond O'Hanlon and poet James Fenton set out into the steaming Bornean jungle to find a rare rhinoceros—only to face an adventure none of them were prepared for.",eng,(CC BY-NC-SA 4.0),,,
item10,The Great Game,image/jpeg,010-hopkirk.jpg,"Hopkirk, Peter",John Murray Publishers Ltd,1990,Paperback,Pamir Mountains,39.00000,72.87643,ISBN 071954727X,"spies, mountains, diplomacy, politics",non-fiction,"Told through the real-life exploits of daring spies, explorers, and military officers who mapped secret mountain passes and courted local rulers in disguise, the book chronicles how two sprawling empires maneuvered for dominance across the deserts and trade routes leading to India.",eng,(CC BY-NC-SA 4.0),,,
item11,,image/jpeg,bookshelf.jpg,,,,,,,,,,,,,(CC BY-NC-SA 4.0),,,
