objectid,title,format,filename,Title,Author,publisher,date,Format,location,Setting,latitude,longitude,identifier,Call #,Subject Heading,Genre,Description,language,rightsstatement,Additional Notes,
item1,History,image/jpeg,001-shoalts.jpg,History of Canada in 10 Maps,"Shoalts, Adam","Allen Lane,",2017,Paperback,Huron Library,"Newfoundland, Canada",51.5953,55.5331,670069469,GA471 .S56 2017,Historical geography -- Maps,non-fiction,"Historian, archaeologist and geographer Adam Shoalts tells the stories behind ten centuries old maps, and how they came to shape what became ""Canada"".",eng,(CC BY-NC-SA 4.0),,
item2,Lost,image/jpeg,002-grann.jpg,Lost City of Z,"Grann, David","Vintage Books,",2010,Paperback,Storage,Brazil,-15.59870,-56.09910,9781400078455,F2546 .G75 2010,"Fawcett, Percy Harrison, 1867-1925? -- Travel -- Amazon River Region",non-fiction,"In 1925, the legendary British explorer Percy Fawcett ventured into the Amazon jungle, in search of a fabled civilization. He never returned. Over the years countless perished trying to find evidence of his party and the place he called ""The Lost City of Z.",eng,(CC BY-NC-SA 4.0),,
item3,Botany,image/jpeg,003-pollan.jpg,The botany of desire : a plant's eye view of the world,"Pollan, Michael",Random Books,2001,Paperback,Weldon Library,Peru-Andes,-13.870227,-71.302948,375501290,QK46.5.H85 P66 2001,Human-Plant-Relationships,non-fiction,"Michael Pollan that explores the co-evolutionary, reciprocal relationship between humans and domesticated plants. It proposes that plants use human desires—specifically sweetness, beauty, intoxication, and control—to manipulate us into spreading their genes globally.",eng,(CC BY-NC-SA 4.0),,1st edition
item4,Poisonwood,image/jpeg,004-kingsolver.jpg,The Poisonwood Bible: A Novel,"Kingsolver, Barbara",Harperflamingo,1998,Paperback,Weldon Library,Congo (DRC),-4.034788,21.755028,60175400,PS3561.I496 P65 1998,Missionaries -- Congo (Democratic Republic) -- Fiction,fiction,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it - from garden seeds to Scripture - is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.",eng,(CC BY-NC-SA 4.0),,1st edition
item5,Rose,image/jpeg,005-eco.jpg,The Name of the Rose,"Eco, Umberto",Harcourt Brace Jovanovich,1983,Paperback,King's Library,Italy,45.13860,7.04850,151446474,PQ4865.C6N6e,"Monastic and religious life -- Italy -- History -- Middle Ages, 600-1500 -- Fiction",fiction,,eng,(CC BY-NC-SA 4.0),,"1st edition,  2nd floor"
item6,Under,image/jpeg,006-krakauer.jpg,Under the Banner of Heaven: A Story of Violent Faith,"Krakauer, John",Anchor Books,2004,Paperback,King's Library,"Utah, USA",-111.79590,-81.71000,9781400032808,BX8680.M54 K73 2004,Latter Day Saint fundamentalism,non-fiction,"A true-crime investigation, a study of religious extremism, and an exploration of Mormon fundamentalism.",eng,(CC BY-NC-SA 4.0),,"1st edition, 2nd floor"
item7,Merchant,image/jpeg,007-bown.jpg,"Merchant kings : when companies ruled the world, 1600-1900","Bown, Stephen R.",Douglas & McIntyre,2009,Paperback,Brescia College ,Indonesia,"-6.914744,",107.60981,9781553653424,HF481.B78 2009,Colonial Companies--History,non-fiction,"Bown profiles six ruthless merchant-adventurers who ran massive monopoly trading companies with absolute, dictatorial power over global territories.",eng,(CC BY-NC-SA 4.0),,
item8,Arabian,image/jpeg,008-Thesiger,Arabian Sands,"Thesiger, Alfred",Longmans,1959,Paperback,Weldon Library,UAE,107.6098,-81.27564,58862968,DS208 .T44 1959,"Thesiger, Wilfred, 1910-2003 -- Travels -- Arabian Peninsula",non-fiction,"The book chronicles Thesiger's expeditions crossing the Empty Quarter of the Arabian Peninsula and documents the traditional, vanishing life of the Bedouin.",eng,(CC BY-NC-SA 4.0),,
item9,Borneo,image/jpeg,009-Ohanlon,Into the heart of Borneo : an account of a journey made in 1983 to the mountains of Batu Tiban with James Fenton,"O'Hanlon, Redmond",Penguin Books,1984,Paperback,Mills Library (McMaster University),Borneo,1.5531,110.345,140073973,DS 646.3 .O44 1985B,Borneo -- Description and travel,non-fiction,"Armed with survival warnings, heavy kit, and expert knowledge, naturalist Redmond O'Hanlon and poet James Fenton set out into the steaming Bornean jungle to find a rare rhinoceros—only to face an adventure none of them were prepared for.",eng,(CC BY-NC-SA 4.0),,
item10,Book X. L. 109.,image/jpeg,010-Hopkirk,The great game : on secret service in high Asia,"Hopkirk, Peter",John Murray Publishers Ltd,1990,Paperback,Weldon Library,Pamir Mountains,39.00000,72.87643,071954727X,D378.H67 1990,Great Britain -- Foreign relations -- 19th century,non-fiction,"Told through the real-life exploits of daring spies, explorers, and military officers who mapped secret mountain passes and courted local rulers in disguise, the book chronicles how two sprawling empires maneuvered for dominance across the deserts and trade routes leading to India.",eng,(CC BY-NC-SA 4.0),,
